93
0	120	1000
0	600	3000
0	120	5000
0	600	7000
0	120	9000
1	0	10000
1	0	11500
1	0	13000
1	0	14500
10	0	14600
0	120	16000
0	600	18000
0	120	20000
1	0	21000
1	0	22500
1	0	23500
2	250	24000
3	400	25500
2	250	27000
1	0	28000
1	0	29000
4	50	30000
4	50	30600
4	50	31200
7	650	32000
6	650	33000
1	0	34000
1	0	35000
8	50	36000
8	650	36010
2	250	37000
3	400	38000
4	50	39000
4	50	39600
2	250	41000
2	400	41010
7	650	44000
8	50	45000
8	650	45010
2	250	46000
2	400	47000
2	250	48000
2	400	49000
2	250	50000
8	50	51000
8	650	52000
7	650	53000
1	0	54000
1	0	55000
1	0	56000
1	0	57000
2	250	58000
2	400	59000
4	650	61000
4	650	61600
2	250	63000
2	400	63010
1	0	64000
1	0	65000
1	0	66000
2	250	67000
2	400	68000
6	650	70000
1	0	71000
2	250	72000
3	400	73000
9	50	74000
1	0	75000
8	650	76000
4	50	77000
7	50	77600
2	250	79000
2	400	79010
3	250	80000
8	650	80500
1	0	81000
1	0	81500
8	50	82000
4	650	83000
5	650	83600
2	250	84000
2	400	84010
8	50	85000
8	650	85010
9	50	86500
6	650	88000
6	650	89000
8	50	91000
6	650	92000
7	650	93000
6	650	94000
11	0	95000
12	350	105000
